x,y,u,v,w,current_cost,total_cost
95.0,91.25,11.518370701858505,3.387207651763848,0.22321239568128237,212.9920200381275,6817.967491908141
96.25,91.25,12.039500218872405,3.413251383338874,0.25463438432067026,201.71601241897213,7019.683504327113
97.5,91.25,12.53594314513957,3.2593901132638856,0.2766360723358084,189.04173817297786,7208.725242500091
98.75,91.25,12.871066328324808,2.9415494349424565,0.27071841540121505,179.15420497344823,7387.879447473539
100.0,91.25,13.245486104304751,2.6980849185850064,0.2991920002420137,167.75351562413908,7555.632963097678
101.25,91.25,13.397113127802285,2.3235127610447392,0.3029451385636794,162.44190038432066,7718.074863481998
102.5,91.25,13.460623710196645,1.9458584562417274,0.29750594301045596,159.96402932985868,7878.038892811857
103.75,91.25,13.384440005019508,1.5803036405134177,0.2924906946354584,162.01142269195813,8040.050315503815
105.0,92.5,13.332029420801536,1.1877478119184075,0.16194907905063644,175.348305564505,8215.39862106832
106.25,92.5,13.2894,0.9251829999999999,0.15275724999999998,164.62016682978322,8380.018787898103
107.5,92.5,13.2257,0.6659105000000001,0.14591874999999999,166.4939495384344,8546.512737436538
108.75,92.5,13.1395,0.40878899999999996,0.1407813,169.03306600452012,8715.545803441059
110.0,93.75,13.05375,0.2145435,0.020705800000000003,188.57368576619325,8904.119489207253
111.25,93.75,12.9804,0.0009105499999999961,0.008703599999999999,173.63580055575022,9077.755289763003
112.5,93.75,12.883700000000001,-0.2064365,-0.004506999999999997,176.36321329069094,9254.118503053694
113.75,95.0,12.70995,-0.2733045,-0.0961769,204.98425326384427,9459.10275631754
115.0,95.0,12.61665,-0.423192,-0.10675065,183.60799338376242,9642.710749701302
116.25,95.0,12.51725,-0.5558175,-0.11352955,186.19315429049084,9828.903903991793
117.5,95.0,12.411950000000001,-0.6713880000000001,-0.11763815,188.86799655158893,10017.771900543383
118.75,95.0,12.3006,-0.7708325,-0.12009095,191.62741048058672,10209.39931102397
120.0,95.0,12.18465,-0.8557905,-0.1218365,194.42726374383724,10403.826574767807
121.25,95.0,12.06515,-0.928032,-0.12102954999999999,197.23608485845182,10601.06265962626
122.5,95.0,11.947,-0.9887435,-0.119466,199.93770793967525,10801.000367565934
123.75,95.0,11.8325,-1.0377135,-0.11994769999999999,202.48597556278503,11003.48634312872
125.0,95.0,11.7217,-1.076792,-0.12432869999999999,204.88763998298117,11208.3739831117
126.25,95.0,11.6128,-1.107785,-0.132046,207.18764387508415,11415.561626986784
127.5,95.0,11.5044,-1.1309550000000002,-0.140552,209.4188263080369,11624.980453294822
128.75,95.0,11.400200000000002,-1.145335,-0.14830549999999998,211.51000832522317,11836.490461620046
130.0,95.0,11.30445,-1.1511,-0.15617999999999999,213.38632823108313,12049.876789851129
131.25,95.0,11.2216,-1.147395,-0.166499,214.97646962060483,12264.853259471734
132.5,95.0,11.15065,-1.1394250000000001,-0.17807050000000002,216.31322042803595,12481.16647989977
133.75,93.75,10.84795,-1.326905,-0.22224,277.48702578710515,12758.653505686874
135.0,93.75,10.793,-1.312955,-0.2522545,222.5928163093423,12981.246321996217
136.25,93.75,10.743400000000001,-1.2986900000000001,-0.28390499999999996,223.43387136149522,13204.680193357712
137.5,93.75,10.70035,-1.284275,-0.31637099999999996,224.1557225929448,13428.835915950656
138.75,93.75,10.664200000000001,-1.269765,-0.349472,224.75661628431135,13653.592532234969
140.0,93.75,10.6343,-1.2567849999999998,-0.38301300000000005,225.24983388666854,13878.842366121637
141.25,93.75,10.6096,-1.24671,-0.41861000000000004,225.65438331442363,14104.49674943606
142.5,93.75,10.58935,-1.237185,-0.45799599999999996,225.98530135496932,14330.48205079103
143.75,93.75,10.5733,-1.22684,-0.499797,226.24845526325274,14556.730506054282
145.0,93.75,10.56,-1.215195,-0.5422735,226.46791340047696,14783.198419454759
146.25,93.75,10.54765,-1.20284,-0.5837245,226.67223248918964,15009.870651943947
147.5,92.5,10.35905,-1.2889300000000001,-0.845711,291.9029232141818,15301.77357515813
148.75,91.25,10.22815,-1.32288,-1.122287,295.6252345596522,15597.398809717783
150.0,90.0,10.200199999999999,-1.305475,-1.415645,296.5419221078312,15893.940731825614
151.25,88.75,10.1691,-1.20491,-1.6789049999999999,297.4943450932951,16191.43507691891
152.5,87.5,10.16615,-1.070885,-1.90537,297.7049848126228,16489.140061731534
153.75,86.25,10.20035,-0.9182049999999999,-2.120295,296.9810919030421,16786.121153634576
155.0,85.0,10.267700000000001,-0.735976,-2.309675,295.36990029696824,17081.491053931546
156.25,83.75,10.36645,-0.5378974999999999,-2.441485,292.8038486067364,17374.294902538284
157.5,82.5,10.4897,-0.340324,-2.529315,289.4330493535746,17663.72795189186
158.75,81.25,10.6069,-0.1455263,-2.56621,286.0608530496057,17949.788804941465
160.0,80.0,10.657350000000001,0.03515555,-2.534865,284.46895696860383,18234.25776191007
