X Y U V
3.816709999999999923e+02 6.336030000000000229e+01 3.233359999999999790e+00 -6.070769999999999778e-01
3.833380000000000223e+02 6.169180000000000064e+01 3.233359999999999790e+00 -6.070769999999999778e-01
4.016659999999999968e+02 6.334409999999999741e+01 4.121500000000000163e+00 -3.705330000000000013e-01
4.033330000000000268e+02 6.167549999999999955e+01 4.121500000000000163e+00 -3.705330000000000013e-01
4.216630000000000109e+02 6.331869999999999976e+01 3.868100000000000094e+00 9.737800000000000622e-02
4.233299999999999841e+02 6.165370000000000061e+01 3.868100000000000094e+00 9.737800000000000622e-02
4.416639999999999873e+02 6.166020000000000323e+01 4.066069999999999851e+00 -6.628960000000000408e-02
4.433299999999999841e+02 6.332569999999999766e+01 4.066069999999999851e+00 -6.628960000000000408e-02
4.616630000000000109e+02 6.166929999999999978e+01 3.916710000000000136e+00 -3.611869999999999803e-01
4.633299999999999841e+02 6.333520000000000039e+01 3.916710000000000136e+00 -3.611869999999999803e-01
4.833319999999999936e+02 6.166949999999999932e+01 3.916690000000000005e+00 3.546630000000000060e-01
4.816650000000000205e+02 6.333590000000000231e+01 3.916690000000000005e+00 3.546630000000000060e-01
2.643790000000000191e+02 8.078140000000000498e+01 2.950029999999999930e+00 4.741110000000000047e-01
2.816680000000000064e+02 8.333029999999999404e+01 2.943039999999999878e+00 3.291120000000000156e-01
2.833349999999999795e+02 8.166320000000000334e+01 2.943039999999999878e+00 3.291120000000000156e-01
3.033369999999999891e+02 8.166070000000000562e+01 2.698090000000000099e+00 8.678520000000000331e-03
3.016700000000000159e+02 8.332779999999999632e+01 2.698090000000000099e+00 8.678520000000000331e-03
3.233410000000000082e+02 8.332489999999999952e+01 3.009830000000000005e+00 -2.433639999999999970e-01
3.216739999999999782e+02 8.165829999999999700e+01 3.009830000000000005e+00 -2.433639999999999970e-01
3.433519999999999754e+02 8.332940000000000680e+01 3.287189999999999834e+00 -3.543820000000000303e-02
3.416840000000000259e+02 8.166249999999999432e+01 3.287189999999999834e+00 -3.543820000000000303e-02
3.633550000000000182e+02 8.334459999999999980e+01 3.496189999999999909e+00 8.255160000000000275e-01
3.616890000000000214e+02 8.167950000000000443e+01 3.496189999999999909e+00 8.255160000000000275e-01
3.816689999999999827e+02 8.168380000000000507e+01 4.440129999999999910e+00 -1.466639999999999888e-01
